Speaker	Statement	Rating
Mitt Romney	You can hire lots of bureaucrats. Thats what the presidents done. Hes added 135,000 people to the government workforce	2
Mitt Romney	Rick Santorum supported (Arlen) Specter over conservative candidates twice	0
Mitt Romney	Latin Americas economy is almost as big as the economy of China	2
Mitt Romney	The number of new businesses started per year has dropped by 100,000 during this presidents term	2
Mitt Romney	Pakistan has 100 nuclear warheads and theyre rushing to build a lot more. Theyll have more than Great Britain sometime in the relatively near future	1
Mitt Romney	Under President Obama: $4,000 tax hike on middle-class families	5
Mitt Romney	The median income in America has dropped by 10 percent in the last four years	2
Mitt Romney	We should be seeing numbers in the 500,000 jobs created per month. (Creating 115,000 jobs, the total from April 2012) is way, way, way off from what should happen in a normal recovery	2
Mitt Romney	When I was governor, not only did test scores improve  we also narrowed the achievement gap	2
Mitt Romney	Under Obamas plan (for welfare), you wouldnt have to work and wouldnt have to train for a job. They just send you your welfare check	5
Mitt Romney	This is the slowest job recovery since Hoover	4
Mitt Romney	I went to the Olympics that was out of balance, and we got it on balance	1
Mitt Romney	We are only inches away from ceasing to be a free market economy	5
Mitt Romney	This president ... could have gotten crippling sanctions against Iran. He did not	3
Mitt Romney	Senator McCain voted against the Bush tax cuts. Now he's for them	0
Mitt Romney	Forty-seven percent of Americans pay no income tax	0
Mitt Romney	Speaker Gingrich has said that we ought to get rid of our child labor laws	3
Mitt Romney	Health insurance is more expensive in Massachusetts than anywhere else in the country	1
Sheldon Whitehouse	The Ryan budget gets rid of Medicare in 10 years and turns it into a voucher program	4
Sheldon Whitehouse	If you put the $47 billion in revenue (raised over 10 years by the Buffett rule) into infrastructure you could create 611,000 infrastructure jobs	4
Sheldon Whitehouse	There are already more American jobs in the solar industry than in coal mining	0
Sheldon Whitehouse	When George Bush took office, President Clinton, a Democrat, and the Democratic Congress at the time had left an annual budget that was in surplus	4
Sheldon Whitehouse	For Social Security, which is projected to remain solvent through 2033, Whitehouse has cosponsored [a bill that] . . . would extend the life of the program by an additional 75 years	1
Sheldon Whitehouse	61 percent of non-tea party Republicans actually agree...there is 'solid evidence the earth is warming,' ...[but] 70 percent of tea partiers, contrarily, say there is 'no solid evidence' the earth is warming	1
Sheldon Whitehouse	The law, right now, permits companies that close down American factories and offices and move those jobs overseas to take a tax deduction for the costs associated with moving the jobs to China or India or wherever	0
Sheldon Whitehouse	An April study found that about 70 percent of ads in this election cycle have been negative [due to SuperPACs], up from only 9 percent through the same period in 2008	1
Sheldon Whitehouse	[Renewable energy] projects . . . get us off foreign oil and away, step by step, from these foreign entanglements that we have to get into to defend our oil supply	3
Sheldon Whitehouse	Narragansett Bay waters are getting warmer -- 4 degrees Fahrenheit warmer in the winter since the 1960s	2
Sheldon Whitehouse	This March, for the first time in human history, the monthly average carbon dioxide in our atmosphere exceeded 400 parts per million. The range had been 170-300 parts per million for hundreds of thousands of years	0
Sheldon Whitehouse	The American healthcare system burns 18 percent of our national GDP. Nobody else is close	0
Sheldon Whitehouse	We have more people working in clean and green energy than in oil and gas in this country	0
Sheldon Whitehouse	January through November 2014, the year so far, were the hottest first 11 months of any year recorded	0
Sheldon Whitehouse	No one in Rhode Island -- not just children, no one in Rhode Island -- should eat more than one serving of freshwater fish caught in our state each month	2
Sheldon Whitehouse	Some criminals have learned how to spy on Americans, hacking into our home computers and looking out through the video camera attached to the screen	0
Louise Slaughter	Eighty percent of the antibiotics in this country are fed to livestock	1
Louise Slaughter	by 4th grade, 86 percent of African-American boys and 82 percent (of) Hispanic boys are reading below proficiency levels	0
Mark Neumann	My supporters aren't special interest groups in Madison and Milwaukee	1
Mark Neumann	Victory! Republicans by 2 to 1 vote to endorse Mark Neumann on first ballot at GOP convention	4
Edward  Markey	We only have 2 percent of the oil reserves in the world, and we consume 25 percent of the world's oil on a daily basis	1
Edward  Markey	Right now every single one of the (oil) companies here today and dozens of others are drilling for free in the Gulf of Mexico on leases that will cost American taxpayers more than $50 billion in lost royalties	2
Mike Gravel	21-million Americans could have a four-year college scholarship for the money we've squandered in Iraq. 7.6-million teachers could have been hired last year if we weren't squandering this money	2
Mike Gravel	I am a candidate. I have not withdrawn	0
Mike Gravel	In 1972, we had a 179,000 human beings in jail in this country. Today, it's 2.3-million, and 70 percent of them are black, African-American	5
Mike Gravel	If we manufactured 5-million of these 2.5-meg windmills across the country, we could electrify the entire nation  the entire nation	3
Cecilia Muoz	Most women, including 98 percent of Catholic women, have used contraception	1
CATPAC	Ralph Hall has never voted to raise the debt ceiling	4
John McCain	Congressman John Lewis, an American hero, made allegations that Sarah Palin and I were somehow associated with ... the worst chapter in American history. ... And, Senator Obama, you didn't repudiate those remarks	0
John McCain	Earmarked dollars have doubled just since 2000, and more than tripled in the last 10 years	2
John McCain	I said two years ago that the Fannie and Freddie thing was a very serious problem and we had to work on it	3
John McCain	A lot of people don't know that 50,000 Americans now make their living off eBay	2
John McCain	We are within the margin of error	2
John McCain	My opponent promises to bring back old jobs by wishing away the global economy	4
John McCain	I won the majority of the Republican vote in both New Hampshire and South Carolina	4
John McCain	One man opposed a flawed strategy in Iraq. One man had the courage to call for change. One man didn't play politics with the truth	0
John McCain	The Iranians continue  in the view of every objective observer  continue to pursue the acquisition of nuclear weapons	4
John McCain	It (Georgia) was one of the earliest Christian nations. The king of then-Georgia in the third century converted to Christianity	1
John McCain	We spent approximately $20-billion of that money on pork barrel, earmark projects. Maybe if we had done it right, maybe some of that money would have gone to inspect those bridges and other bridges across the country	0
